train loss: 2.0544, acc: 0.3311
validation loss: 1.8793, acc: 0.3846
train loss: 1.8688, acc: 0.3874
validation loss: 1.8108, acc: 0.4038
train loss: 1.8138, acc: 0.3991
validation loss: 1.7737, acc: 0.4077
train loss: 1.7830, acc: 0.4096
validation loss: 1.7399, acc: 0.4224
train loss: 1.7546, acc: 0.4200
validation loss: 1.7327, acc: 0.4272
train loss: 1.7324, acc: 0.4239
validation loss: 1.7173, acc: 0.4351
train loss: 1.7214, acc: 0.4327
validation loss: 1.7015, acc: 0.4343
train loss: 1.7069, acc: 0.4329
validation loss: 1.7196, acc: 0.4316
train loss: 1.6933, acc: 0.4400
validation loss: 1.7473, acc: 0.4245
train loss: 1.6779, acc: 0.4429
validation loss: 1.6806, acc: 0.4479
train loss: 1.6720, acc: 0.4427
validation loss: 1.7188, acc: 0.4387
train loss: 1.6638, acc: 0.4452
validation loss: 1.6966, acc: 0.4462
train loss: 1.6574, acc: 0.4466
validation loss: 1.6724, acc: 0.4561
train loss: 1.6493, acc: 0.4506
validation loss: 1.6911, acc: 0.4530
train loss: 1.6422, acc: 0.4538
validation loss: 1.6803, acc: 0.4488
train loss: 1.6363, acc: 0.4535
validation loss: 1.6602, acc: 0.4542
train loss: 1.6276, acc: 0.4574
validation loss: 1.6585, acc: 0.4541
train loss: 1.6264, acc: 0.4575
validation loss: 1.6379, acc: 0.4609
train loss: 1.6255, acc: 0.4575
validation loss: 1.6807, acc: 0.4547
train loss: 1.6088, acc: 0.4635
validation loss: 1.6568, acc: 0.4553
train loss: 1.6048, acc: 0.4659
validation loss: 1.6658, acc: 0.4535
train loss: 1.6036, acc: 0.4657
validation loss: 1.6662, acc: 0.4583
train loss: 1.6033, acc: 0.4664
validation loss: 1.6653, acc: 0.4495
train loss: 1.5964, acc: 0.4666
validation loss: 1.6553, acc: 0.4498
train loss: 1.5902, acc: 0.4695
validation loss: 1.6762, acc: 0.4519
train loss: 1.5872, acc: 0.4716
validation loss: 1.6675, acc: 0.4455
train loss: 1.5837, acc: 0.4720
validation loss: 1.6169, acc: 0.4683
train loss: 1.5823, acc: 0.4709
validation loss: 1.6685, acc: 0.4593
train loss: 1.5782, acc: 0.4730
validation loss: 1.6546, acc: 0.4555
train loss: 1.5756, acc: 0.4737
validation loss: 1.6350, acc: 0.4661
train loss: 1.5736, acc: 0.4742
validation loss: 1.6631, acc: 0.4603
train loss: 1.5727, acc: 0.4739
validation loss: 1.6315, acc: 0.4646
train loss: 1.5589, acc: 0.4778
validation loss: 1.6557, acc: 0.4584
train loss: 1.5595, acc: 0.4778
validation loss: 1.6584, acc: 0.4538
train loss: 1.5590, acc: 0.4789
validation loss: 1.6825, acc: 0.4507
train loss: 1.5557, acc: 0.4786
validation loss: 1.6508, acc: 0.4608
train loss: 1.5548, acc: 0.4778
validation loss: 1.6642, acc: 0.4617
train loss: 1.5519, acc: 0.4795
validation loss: 1.7163, acc: 0.4435
train loss: 1.5485, acc: 0.4808
validation loss: 1.6434, acc: 0.4683
train loss: 1.5437, acc: 0.4847
validation loss: 1.6270, acc: 0.4667
train loss: 1.5429, acc: 0.4839
validation loss: 1.6277, acc: 0.4645
train loss: 1.5370, acc: 0.4852
validation loss: 1.6506, acc: 0.4654
