train loss: 1.4396, acc: 0.4833
validation loss: 1.3443, acc: 0.5076
train loss: 1.1975, acc: 0.5723
validation loss: 1.2718, acc: 0.5363
train loss: 1.0762, acc: 0.6147
validation loss: 1.2516, acc: 0.5590
train loss: 0.9856, acc: 0.6505
validation loss: 1.2332, acc: 0.5630
train loss: 0.9023, acc: 0.6785
validation loss: 1.2224, acc: 0.5691
train loss: 0.8363, acc: 0.7022
validation loss: 1.2815, acc: 0.5725
train loss: 0.7812, acc: 0.7226
validation loss: 1.3173, acc: 0.5656
train loss: 0.7268, acc: 0.7420
validation loss: 1.3423, acc: 0.5836
train loss: 0.6814, acc: 0.7566
validation loss: 1.2783, acc: 0.5794
train loss: 0.6354, acc: 0.7722
validation loss: 1.3885, acc: 0.5779
train loss: 0.5910, acc: 0.7887
validation loss: 1.3896, acc: 0.5744
train loss: 0.5632, acc: 0.7983
validation loss: 1.3882, acc: 0.5857
train loss: 0.5302, acc: 0.8113
validation loss: 1.4304, acc: 0.5856
train loss: 0.4968, acc: 0.8223
validation loss: 1.5441, acc: 0.5778
train loss: 0.4723, acc: 0.8306
validation loss: 1.4574, acc: 0.5930
train loss: 0.4442, acc: 0.8411
validation loss: 1.4985, acc: 0.5818
train loss: 0.4252, acc: 0.8470
validation loss: 1.5841, acc: 0.5726
train loss: 0.4009, acc: 0.8580
validation loss: 1.5685, acc: 0.5833
train loss: 0.3845, acc: 0.8629
validation loss: 1.6595, acc: 0.5826
train loss: 0.3663, acc: 0.8688
validation loss: 1.6375, acc: 0.5879
train loss: 0.3447, acc: 0.8765
validation loss: 1.6671, acc: 0.5856
train loss: 0.3325, acc: 0.8815
validation loss: 1.6470, acc: 0.5774
train loss: 0.3196, acc: 0.8859
validation loss: 1.6947, acc: 0.5848
train loss: 0.3060, acc: 0.8913
validation loss: 1.7290, acc: 0.5852
train loss: 0.2952, acc: 0.8949
validation loss: 1.7913, acc: 0.5845
train loss: 0.2803, acc: 0.8998
validation loss: 1.8273, acc: 0.5959
train loss: 0.2699, acc: 0.9044
validation loss: 1.7661, acc: 0.5903
train loss: 0.2580, acc: 0.9081
validation loss: 1.8164, acc: 0.5922
train loss: 0.2512, acc: 0.9099
validation loss: 1.8330, acc: 0.5860
train loss: 0.2424, acc: 0.9136
validation loss: 1.8787, acc: 0.5830
train loss: 0.2305, acc: 0.9174
validation loss: 1.9909, acc: 0.5856
train loss: 0.2296, acc: 0.9187
validation loss: 1.9509, acc: 0.5805
train loss: 0.2173, acc: 0.9223
validation loss: 2.0152, acc: 0.5692
train loss: 0.2110, acc: 0.9257
validation loss: 1.9640, acc: 0.5894
train loss: 0.2051, acc: 0.9271
validation loss: 2.0741, acc: 0.5722
train loss: 0.1991, acc: 0.9295
validation loss: 1.9857, acc: 0.5868
train loss: 0.1929, acc: 0.9327
validation loss: 2.0331, acc: 0.5864
train loss: 0.1892, acc: 0.9336
validation loss: 2.1155, acc: 0.5806
train loss: 0.1849, acc: 0.9356
validation loss: 2.0629, acc: 0.5909
train loss: 0.1784, acc: 0.9372
validation loss: 2.0806, acc: 0.5790
train loss: 0.1719, acc: 0.9390
validation loss: 2.0386, acc: 0.5875
train loss: 0.1673, acc: 0.9396
validation loss: 2.1901, acc: 0.5810
train loss: 0.1642, acc: 0.9415
validation loss: 2.1619, acc: 0.5856
train loss: 0.1592, acc: 0.9452
validation loss: 2.1168, acc: 0.5872
train loss: 0.1571, acc: 0.9450
validation loss: 2.2609, acc: 0.5775
train loss: 0.1528, acc: 0.9458
validation loss: 2.2614, acc: 0.5803
train loss: 0.1493, acc: 0.9477
validation loss: 2.2229, acc: 0.5882
train loss: 0.1495, acc: 0.9477
validation loss: 2.2429, acc: 0.5886
train loss: 0.1461, acc: 0.9478
validation loss: 2.1568, acc: 0.5905
train loss: 0.1418, acc: 0.9500
validation loss: 2.2468, acc: 0.5849
train loss: 0.1391, acc: 0.9514
validation loss: 2.2234, acc: 0.5798
train loss: 0.1349, acc: 0.9530
validation loss: 2.3487, acc: 0.5853
train loss: 0.1349, acc: 0.9526
validation loss: 2.3022, acc: 0.5852
train loss: 0.1327, acc: 0.9527
validation loss: 2.3538, acc: 0.5844
train loss: 0.1278, acc: 0.9547
validation loss: 2.3790, acc: 0.5772
train loss: 0.1271, acc: 0.9557
validation loss: 2.3067, acc: 0.5867
train loss: 0.1237, acc: 0.9569
validation loss: 2.2895, acc: 0.5875
train loss: 0.1204, acc: 0.9581
validation loss: 2.2379, acc: 0.5921
train loss: 0.1196, acc: 0.9584
validation loss: 2.2362, acc: 0.5864
train loss: 0.1186, acc: 0.9579
validation loss: 2.4069, acc: 0.5930
train loss: 0.1146, acc: 0.9599
validation loss: 2.3730, acc: 0.5907
train loss: 0.1142, acc: 0.9602
validation loss: 2.3879, acc: 0.5867
train loss: 0.1123, acc: 0.9602
validation loss: 2.4249, acc: 0.5979
train loss: 0.1130, acc: 0.9608
validation loss: 2.3259, acc: 0.5964
train loss: 0.1074, acc: 0.9633
validation loss: 2.4837, acc: 0.5830
train loss: 0.1084, acc: 0.9628
validation loss: 2.4269, acc: 0.5811
train loss: 0.1074, acc: 0.9627
validation loss: 2.3098, acc: 0.5933
